Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
#Gadhvi (He thought he was Gandhi),(2019),109,['Drama'],7.0,8.0,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
#Yaaram,(2019),110,"['Comedy', ' Romance']",4.4,35.0,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
...Aur Pyaar Ho Gaya,(1997),147,"['Comedy', ' Drama', ' Musical']",4.7,827.0,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
?: A Question Mark,(2012),82,"['Horror', ' Mystery', ' Thriller']",5.6,326.0,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
@Andheri,(2014),116,"['Action', ' Crime', ' Thriller']",4.0,11.0,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
1:1.6 An Ode to Lost Love,(2004),96,['Drama'],6.2,17.0,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
1:13:7 Ek Tera Saath,(2016),120,['Horror'],5.9,59.0,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
100 Days,(1991),161,"['Horror', ' Romance', ' Thriller']",6.5,983.0,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100% Love,(2012),166,"['Comedy', ' Drama', ' Romance']",5.7,512.0,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
10ml LOVE,(2010),87,"['Comedy', ' Drama', ' Romance']",6.3,162.0,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
12 O'Clock,(1958),132,"['Crime', ' Drama', ' Mystery']",7.2,72.0,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
12 O'Clock,(2021),105,"['Horror', ' Thriller']",4.4,63.0,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
127 B,(2017),116,"['Comedy', ' Horror']",6.6,26.0,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
15th August,(1993),168,['Drama'],5.6,15.0,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
18.11,(2014),126,['Action'],3.5,10.0,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
1857,(1946),135,"['Drama', ' History']",5.0,8.0,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi
19 Revolutions,(2004),94,['Drama'],4.5,16.0,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
1978: A Teen Night Out,(2019),107,['Thriller'],4.0,20.0,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
1982 - A Love Marriage,(2017),113,['Comedy'],5.5,106.0,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
19th January,(2014),135,['Drama'],7.3,16.0,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia
2 Little Indians,(2013),135,"['Comedy', ' Family']",5.6,14.0,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra
2 Nights in Soul Valley,(2012),80,"['Adventure', ' Horror', ' Mystery']",6.8,21.0,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2 October,(2003),122,"['Action', ' Crime', ' Thriller']",5.0,33.0,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2001: Do Hazaar Ek,(1998),149,"['Crime', ' Mystery', ' Thriller']",3.5,112.0,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2016 the End,(2017),130,['Comedy'],6.1,94.0,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
22 Days,(2018),124,['Thriller'],6.1,8.0,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
22 June 1897,(1979),121,"['Drama', ' History']",7.7,52.0,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
22 Yards,(2019),126,['Sport'],6.1,361.0,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
23rd March 1931: Shaheed,(2002),188,"['Biography', ' Drama', ' History']",5.1,642.0,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
26th July at Barista,(2008),135,['Drama'],3.1,32.0,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla
27 Down,(1974),115,['Drama'],6.9,194.0,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
3 AM: A Paranormal Experience,(2014),103,"['Horror', ' Romance']",5.0,514.0,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
3 Bachelors,(2012),114,"['Comedy', ' Romance']",3.3,165.0,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
3 Dev,(2019),122,['Comedy'],6.9,35.0,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
3 Nights 4 Days,(2009),135,"['Drama', ' Romance']",5.2,23.0,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
3 Storeys,(2018),100,['Drama'],6.9,358.0,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
3.0 Megapixel,(2015),99,"['Adventure', ' Drama']",4.3,6.0,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
30 Days,(2004),135,['Horror'],5.0,14.0,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
30 Minutes,(2016),135,['Thriller'],4.8,26.0,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
31st October,(2015),109,"['Action', ' Drama', ' History']",5.8,238.0,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
340,(2009),135,['Thriller'],4.6,9.0,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
36 Chowringhee Lane,(1981),122,"['Drama', ' Romance']",7.5,392.0,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
36 Ghante,(1974),135,"['Action', ' Crime', ' Drama']",6.7,128.0,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
376 D,(2020),128,"['Crime', ' Thriller']",5.7,252.0,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
377 AbNormal,(2019),93,['Drama'],5.6,93.0,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
3D Saamri,(1985),102,['Horror'],5.6,80.0,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
3rd EYE,(2019),145,['Horror'],6.3,6.0,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
417 Miles,(2016),75,['Drama'],4.8,9.0,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
42 Kms.,(2009),135,"['Drama', ' Sport']",3.9,14.0,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
498A-The Wedding Gift,(2012),113,"['Drama', ' Family', ' Musical']",7.8,21.0,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
